Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
,Gerlos,200.0,,AT,,,HDAM,WAT,0.85,0.0,0.0,0.45,0.45,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,98200.0,0.0,0.0,0.0,,
,Melk,187.0,,AT,,,HROR,WAT,1.0,0.0,0.0,1.1764705882,1.1764705882,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Ottensheim-Wilhering,179.0,,AT,,,HROR,WAT,1.0,0.0,0.0,1.2290502793,1.2290502793,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Freudenau,172.0,,AT,,,HROR,WAT,1.0,0.0,0.0,1.2790697674,1.2790697674,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Abwinden-Asten,168.0,,AT,,,HROR,WAT,1.0,0.0,0.0,1.3095238095,1.3095238095,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,FHKW Linz S??d,158.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0706962025,0.0706962025,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,voestalpine KW Linz,153.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0730065359,0.0730065359,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Kraftwerk Riedersbach 2,150.0,,AT,,,STUR,HRD,0.395,8.0,6.0,0.0333333333,0.0333333333,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,
,Kraftwerk Korneuburg,150.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0744666667,0.0744666667,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Kraftwerk Feldsee,140.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,2.1428571429,2.1428571429,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,6720.0,0.0,117.6470588235,0.86,,
,KW Leopoldau,140.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0797857143,0.0797857143,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Kaprun-Schwarzach,120.0,,AT,,,HDAM,WAT,0.85,0.0,0.0,0.75,0.75,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,58920.0,0.0,0.0,0.0,,
,Malta-Oberstufe,120.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,2.5,2.5,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,5760.0,0.0,100.8403361345,0.86,,
,Kraftwerk Oschenik,114.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,2.6315789474,2.6315789474,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,5472.0,0.0,95.7983193277,0.86,,
,Kaprun-Oberstufe,113.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,2.6548672566,2.6548672566,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,5424.0,0.0,94.9579831933,0.86,,
,Kraftwerk Au??erfragant,100.0,,AT,,,HDAM,WAT,0.85,0.0,0.0,0.9,0.9,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,49100.0,0.0,0.0,0.0,,
,DispaSET PHOT_AT,814.0,,AT,,,PHOT,SUN,1.0,0.0,0.0,1.1056511057,1.1056511057,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,DispaSET WindOn_AT,2306.0,,AT,,,WTON,WIN,1.0,0.0,0.0,0.0585429315,0.0585429315,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,DispaSET Biomass_AT,393.0,,AT,,,STUR,BIO,0.45,8.0,6.0,0.0127226463,0.0127226463,2000.0,,0.0,0.2,0.45,7.0,0.0,,,,,,,,,,,,,,
,DispaSET FossilGas_AT0,301.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0371096346,0.0371096346,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,DispaSET FossilHardCoal_AT,57.0,,AT,,,STUR,HRD,0.395,8.0,6.0,0.0877192982,0.0877192982,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,
,DispaSET FossilOil_AT,288.0,,AT,,,STUR,OIL,0.41,8.0,6.0,0.0173611111,0.0173611111,35280.965,,0.0,0.3,0.41,7.0,0.79,,,,,,,,,,,,,,
,DispaSET HydroPumpedSt_AT,1250.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,0.1653803749,0.1653803749,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,60000.0,0.0,1050.4201680672,0.86,,
,DispaSET HydroRiver_AT,3500.0,,AT,,,HROR,WAT,1.0,0.0,0.0,0.0709677419,0.0709677419,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,DispaSET HydroRes_AT,2544.0,,AT,,,HDAM,WAT,0.85,0.0,0.0,0.0710900474,0.0710900474,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,1249104.0,0.0,0.0,0.0,,
,DispaSET FossilGas_AT1,600.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0186166667,0.0186166667,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_AT2,600.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0186166667,0.0186166667,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_AT3,600.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0186166667,0.0186166667,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
AT_STUR_BIO,AT_STUR_BIO,145.4718892,2.0,AT,,,STUR,BIO,0.46,4.0,6.0,0.02,0.02,,12.5,1.3,0.35,0.35,1.0,0.0,back-pressure,1.0,0.0,145.4718892,,,,,,,,,,
AT_COMC_GAS,AT_COMC_GAS,406.1605294,9.0,AT,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,
AT_GTUR_GAS,AT_GTUR_GAS,52.77463649,3.0,AT,,,GTUR,GAS,0.425,0.0,0.0,0.166666667,0.166666667,,0.0,0.0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,,,,,,
AT_STUR_HRD,AT_STUR_HRD,660.4994908,1.0,AT,,,STUR,HRD,0.46,8.0,8.0,0.017777778,0.017777778,,0.0,0.0,0.3,0.46,2.0,0.81,,,,,,,,,,,,,,
AT_PHOT_SUN,AT_PHOT_SUN,1031.0,1.0,AT,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
AT_HROR_WAT,AT_HROR_WAT,5574.7,1.0,AT,,,HROR,WAT,1.0,0.0,0.0,0.02,0.02,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
AT_HPHS_WAT,AT_HPHS_WAT,5936.0,1.0,AT,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1735630.76,0.0,2971.1,0.8,,
AT_WTON_WIN,AT_WTON_WIN,2730.0,1.0,AT,,,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
AT_STUR_WST,AT_STUR_WST,36.025,4.0,AT,,,STUR,WST,0.2,0.0,0.0,0.02,0.02,,0.0,0.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 3,1046.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0032791587,0.0032791587,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 4,1038.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0033044316,0.0033044316,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 2,1008.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0034027778,0.0034027778,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 3,1006.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0034095427,0.0034095427,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,COO II T,690.0,1.0,BE,,,HPHS,WAT,0.86,0.0,0.0,0.4347826087,0.4347826087,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,3105.0,0.0,690.0,0.86,,
,TIHANGE 1N,481.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0071309771,0.0071309771,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 1S,481.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0071309771,0.0071309771,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,COO I T,474.0,1.0,BE,,,HPHS,WAT,0.86,0.0,0.0,0.6329113924,0.6329113924,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,2133.0,0.0,474.0,0.86,,
,DROGENBOS TGV,465.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,HERDERSBRUG STEG,465.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Amercoeur 1 R TGV,451.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.024767184,0.024767184,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DOEL 1,433.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0079214781,0.0079214781,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 2,433.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0079214781,0.0079214781,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,T-power Beringen,422.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0264691943,0.0264691943,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Marcinelle Energie (Carsid),405.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0275802469,0.0275802469,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Zandvliet Power,384.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0290885417,0.0290885417,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,ESCH-SUR-ALZETTE STEG,376.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0297074468,0.0297074468,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,RINGVAART STEG,357.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0312885154,0.0312885154,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,SAINT-GHISLAIN STEG,350.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0319142857,0.0319142857,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Zelzate 2 Knippegroen,315.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0354603175,0.0354603175,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,RODENHUIZE 4,268.0,1.0,BE,,,STUR,BIO,0.45,8.0,6.0,0.0186567164,0.0186567164,2000.0,,0.0,0.2,0.45,0.0,0.0,,,,,,,,,,,,,,
,LANGERLO 1,235.0,1.0,BE,,,STUR,HRD,0.395,8.0,6.0,0.0212765957,0.0212765957,117242.17,,0.0,0.3,0.395,0.0,0.95,,,,,,,,,,,,,,
,LANGERLO 2,235.0,1.0,BE,,,STUR,HRD,0.395,8.0,6.0,0.0212765957,0.0212765957,117242.17,,0.0,0.3,0.395,0.0,0.95,,,,,,,,,,,,,,
,Northwind,214.0,1.0,BE,,,WTOF,WIN,1.0,0.0,0.0,0.6542056075,0.6542056075,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,Thorntonbank - C-Power - Area SW,178.0,1.0,BE,,,WTOF,WIN,1.0,0.0,0.0,0.7865168539,0.7865168539,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,Belwind Phase 1,171.0,1.0,BE,,,WTOF,WIN,1.0,0.0,0.0,0.8187134503,0.8187134503,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,Thorntonbank - C-Power - Area NE,150.0,1.0,BE,,,WTOF,WIN,1.0,0.0,0.0,0.9333333333,0.9333333333,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,PLATE TAILLE T,144.0,1.0,BE,,,HPHS,WAT,0.86,0.0,0.0,2.0833333333,2.0833333333,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,648.0,0.0,144.0,0.86,,
,Scheldelaan Exxonmobil,140.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0797857143,0.0797857143,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,INESCO WKK,138.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.080942029,0.080942029,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DispaSET PHOT_BE,2953.0,1.0,BE,,,PHOT,SUN,1.0,0.0,0.0,0.3047748053,0.3047748053,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,DispaSET WindOn_BE,1249.0,1.0,BE,,,WTON,WIN,1.0,0.0,0.0,0.1080864692,0.1080864692,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,DispaSET FossilGas_BE1,1412.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0079107649,0.0079107649,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DispaSET Biomass_BE,448.0,1.0,BE,,,STUR,BIO,0.45,8.0,6.0,0.0111607143,0.0111607143,2000.0,,0.0,0.2,0.45,0.0,0.0,,,,,,,,,,,,,,
,DispaSET FossilGas_BE2,500.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.02234,0.02234,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_BE3,500.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.02234,0.02234,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,TIHANGE 3,1046.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0032791587,0.0032791587,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 4,1038.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0033044316,0.0033044316,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 2,1008.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0034027778,0.0034027778,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 3,1006.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0034095427,0.0034095427,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,COO II T,690.0,,BE,,,HPHS,WAT,0.86,0.0,0.0,0.4347826087,0.4347826087,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,3105.0,0.0,690.0,0.86,,
,TIHANGE 1N,481.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0071309771,0.0071309771,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 1S,481.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0071309771,0.0071309771,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,COO I T,474.0,,BE,,,HPHS,WAT,0.86,0.0,0.0,0.6329113924,0.6329113924,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,2133.0,0.0,474.0,0.86,,
,DROGENBOS TGV,465.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,HERDERSBRUG STEG,465.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Amercoeur 1 R TGV,451.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.024767184,0.024767184,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DOEL 1,433.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0079214781,0.0079214781,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 2,433.0,,BE,,,STUR,NUC,0.405,24.0,24.0,0.0079214781,0.0079214781,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,T-power Beringen,422.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0264691943,0.0264691943,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Marcinelle Energie (Carsid),405.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0275802469,0.0275802469,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Zandvliet Power,384.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0290885417,0.0290885417,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,ESCH-SUR-ALZETTE STEG,376.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0297074468,0.0297074468,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,RINGVAART STEG,357.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0312885154,0.0312885154,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,SAINT-GHISLAIN STEG,350.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0319142857,0.0319142857,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Zelzate 2 Knippegroen,315.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0354603175,0.0354603175,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,PLATE TAILLE T,144.0,,BE,,,HPHS,WAT,0.86,0.0,0.0,2.0833333333,2.0833333333,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,648.0,0.0,144.0,0.86,,
,Scheldelaan Exxonmobil,140.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0797857143,0.0797857143,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,INESCO WKK,138.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.080942029,0.080942029,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DispaSET PHOT_BE,2953.0,,BE,,,PHOT,SUN,1.0,0.0,0.0,0.3047748053,0.3047748053,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,DispaSET WindOn_BE,1249.0,,BE,,,WTON,WIN,1.0,0.0,0.0,0.1080864692,0.1080864692,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
,DispaSET FossilGas_BE1,1412.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.0079107649,0.0079107649,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_BE2,500.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.02234,0.02234,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_BE3,500.0,,BE,,,COMC,GAS,0.525,5.0,1.0,0.02234,0.02234,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,TIHANGE 3,1046.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0032791587,0.0032791587,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 4,1038.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0033044316,0.0033044316,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 2,1008.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0034027778,0.0034027778,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 3,1006.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0034095427,0.0034095427,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,COO II T,690.0,1.0,BE,,,HPHS,WAT,0.86,0.0,0.0,0.4347826087,0.4347826087,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,3105.0,0.0,690.0,0.86,,
,TIHANGE 1N,481.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0071309771,0.0071309771,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,TIHANGE 1S,481.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0071309771,0.0071309771,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,COO I T,474.0,1.0,BE,,,HPHS,WAT,0.86,0.0,0.0,0.6329113924,0.6329113924,0.0,,0.0,0.0,0.86,0.0,0.0,,,,,,,,,2133.0,0.0,474.0,0.86,,
,DROGENBOS TGV,465.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,HERDERSBRUG STEG,465.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Amercoeur 1 R TGV,451.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.024767184,0.024767184,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,DOEL 1,433.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0079214781,0.0079214781,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,DOEL 2,433.0,1.0,BE,,,STUR,NUC,0.405,24.0,24.0,0.0079214781,0.0079214781,200000.0,,0.0,0.9,0.405,0.0,0.0,,,,,,,,,,,,,,
,T-power Beringen,422.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0264691943,0.0264691943,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
,Marcinelle Energie (Carsid),405.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0275802469,0.0275802469,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,
