Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
BE_GTUR_GAS,BE_GTUR_GAS,62.14423604,18,BE,,,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,,,,,,
BE_STUR_HRD,BE_STUR_HRD,121.6621253,1,BE,,,STUR,HRD,0.46,8,8,0.017777778,0.017777778,,0,0,0.3,0.46,2,0.81,,,,,,,,,,,,,,
BE_STUR_NUC,BE_STUR_NUC,986.5,6,BE,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,
BE_PHOT_SUN,BE_PHOT_SUN,3087,1,BE,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
BE_HPHS_WAT,BE_HPHS_WAT,1308,1,BE,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,6000,0,1308,0.8,,
BE_WTOF_WIN,BE_WTOF_WIN,712.2,1,BE,,,WTOF,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
BE_WTON_WIN,BE_WTON_WIN,1580,1,BE,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
BE_STUR_WST,BE_STUR_WST,42.70363094,4,BE,,,STUR,WST,0.2,0,0,0.02,0.02,,0,0,0,0.2,0,0,,,,,,,,,,,,,,
BG_STUR_BIO,BG_STUR_BIO,47,1,BG,,,STUR,BIO,0.35,4,6,0.02,0.02,,,0,0.5,0.35,,0,,,,,,,,,,,,,,
BG_COMC_GAS,BG_COMC_GAS,53.95920986,1,BG,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,
BG_GTUR_GAS,BG_GTUR_GAS,54.49880195,1,BG,,,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,,,,,,
BG_STUR_GAS,BG_STUR_GAS,110.8861763,4,BG,,,STUR,GAS,0.38,0,0,0.02,0.02,,0,0,0.4,0.38,0,0,,,,,,,,,,,,,,
BG_STUR_LIG,BG_STUR_LIG,697.4285714,7,BG,,,STUR,LIG,0.393,8,8,0.01520979,0.017482517,,12.56164384,0,0.389,0.4075,5,1.05,,,,,,,,,,,,,,
BG_STUR_NUC,BG_STUR_NUC,1000,2,BG,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,
BG_PHOT_SUN,BG_PHOT_SUN,1043,1,BG,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
BG_HPHS_WAT,BG_HPHS_WAT,2943,1,BG,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,2240914,0,1399,0.8,,
BG_WTON_WIN,BG_WTON_WIN,701,1,BG,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
,Gde-Dixence (GD),1926,,CH,,,HDAM,WAT,0.85,0,0,0.046728972,0.046728972,0,,0,0,0.85,0.3,0,,,,,,,,,2008818,0,0,0.86,,
,KKL - KernKW Leibstadt AG,1245,,CH,,,STUR,NUC,0.405,24,24,0.0027550201,0.0027550201,200000,,0,0.9,0.405,72,0,,,,,,,,,,,,,,
,Kernkraftwerk Gasgen,1020,,CH,,,STUR,NUC,0.405,24,24,0.0033627451,0.0033627451,200000,,0,0.9,0.405,72,0,,,,,,,,,,,,,,
,KW Oberhasli AG (KWO),986,,CH,,,HPHS,WAT,0.86,0,0,0.3042596349,0.3042596349,0,,0,0,0.86,0.3,0,,,,,,,,,259318,0,986,0.86,,
,KLL - KW Linth-Limmern AG,732,,CH,,,HPHS,WAT,0.86,0,0,0.4098360656,0.4098360656,0,,0,0,0.86,0.3,0,,,,,,,,,192516,0,732,0.86,,
,KKB - KernKW Beznau,730,,CH,,,STUR,NUC,0.405,24,24,0.0046986301,0.0046986301,200000,,0,0.9,0.405,72,0,,,,,,,,,,,,,,
,KHR - KW Hinterrhein AG,640,,CH,,,HPHS,WAT,0.86,0,0,0.46875,0.46875,0,,0,0,0.86,0.3,0,,,,,,,,,168320,0,640,0.86,,
,Maggia (OFIMA),547,,CH,,,HDAM,WAT,0.85,0,0,0.1645338208,0.1645338208,0,,0,0,0.85,0.3,0,,,,,,,,,570521,0,0,0.86,,
,Kraftwerke Mauvoisin AG,421,,CH,,,HDAM,WAT,0.85,0,0,0.2137767221,0.2137767221,0,,0,0,0.85,0.3,0,,,,,,,,,439103,0,0,0.86,,
,Emosson (ESA),420,,CH,,,HDAM,WAT,0.85,0,0,0.2142857143,0.2142857143,0,,0,0,0.85,0.3,0,,,,,,,,,438060,0,0,0.86,,
,EKW - Engadiner KW AG,416,,CH,,,HPHS,WAT,0.86,0,0,0.7211538462,0.7211538462,0,,0,0,0.86,0.3,0,,,,,,,,,109408,0,416,0.86,,
,KSL - KW Sarganserland AG,383,,CH,,,HPHS,WAT,0.86,0,0,0.7832898172,0.7832898172,0,,0,0,0.86,0.3,0,,,,,,,,,100729,0,383,0.86,,
,KKW Mahleberg (KKM),380,,CH,,,STUR,NUC,0.405,24,24,0.0090263158,0.0090263158,200000,,0,0.9,0.405,72,0,,,,,,,,,,,,,,
,Electra-Massa (EM),340,,CH,,,HDAM,WAT,0.85,0,0,0.2647058824,0.2647058824,0,,0,0,0.85,0.3,0,,,,,,,,,354620,0,0,0.86,,
,KVR - KW Vorderrhein AG,335,,CH,,,HDAM,WAT,0.85,0,0,0.2686567164,0.2686567164,0,,0,0,0.85,0.3,0,,,,,,,,,349405,0,0,0.86,,
,Blenio (OFIBLE),306,,CH,,,HDAM,WAT,0.85,0,0,0.2941176471,0.2941176471,0,,0,0,0.85,0.3,0,,,,,,,,,319158,0,0,0.86,,
,KWM - KW Mattmark AG,259,,CH,,,HPHS,WAT,0.86,0,0,1.1583011583,1.1583011583,0,,0,0,0.86,0.3,0,,,,,,,,,68117,0,259,0.86,,
,KWZ - KW Zervreila AG,258,,CH,,,HDAM,WAT,0.85,0,0,0.3488372093,0.3488372093,0,,0,0,0.85,0.3,0,,,,,,,,,269094,0,0,0.86,,
,Hongrin-Laman (FMHL),240,,CH,,,HPHS,WAT,0.86,0,0,1.25,1.25,0,,0,0,0.86,0.3,0,,,,,,,,,63120,0,240,0.86,,
,AET Leventina,226,,CH,,,HDAM,WAT,0.85,0,0,0.3982300885,0.3982300885,0,,0,0,0.85,0.3,0,,,,,,,,,235718,0,0,0.86,,
,AKW - AG KW W??gital,108,,CH,,,HPHS,WAT,0.86,0,0,2.7777777778,2.7777777778,0,,0,0,0.86,0.3,0,,,,,,,,,28404,0,108,0.86,,
,KW Rheinfelden CH,100,,CH,,,HROR,WAT,1,0,0,2.2,2.2,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,DispaSET PHOT_CH,1057,,CH,,,PHOT,SUN,1,0,0,0.8514664144,0.8514664144,0,,0,0,1,0,0,,,,,,,,,,,,,,
,DispaSET WindOn_CH,75,,CH,,,WTON,WIN,1,0,0,1.8,1.8,0,,0,0,1,0,0,,,,,,,,,,,,,,
,DispaSET HydroRiver_CH,3000,,CH,,,HROR,WAT,1,0,0,2.4444444444,2.4444444444,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,DispaSET HydroRes_CH,1600,,CH,,,HDAM,WAT,0.85,0,0,3.9130434783,3.9130434783,0,,0,0,0.85,0.3,0,,,,,,,,,1668800,0,0,0.86,,
,DispaSET FossilGas_CH,1000,,CH,,,COMC,GAS,0.525,5,1,0.01117,0.01117,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_CH,1000,,CH,,,COMC,GAS,0.525,5,1,0.01117,0.01117,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_CH,500,,CH,,,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_CH,500,,CH,,,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_CH,500,,CH,,,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_CH,500,,CH,,,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,DispaSET FossilGas_CH,500,,CH,,,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
CH_STUR_NUC,CH_STUR_NUC,843.75,4,CH,,,STUR,NUC,1,24,24,0.0033333333333333,0.0033333333333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,
CH_PHOT_SUN,CH_PHOT_SUN,1394,1,CH,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
CH_HPHS_WAT,CH_HPHS_WAT,8979.8,1,CH,,,HPHS,WAT,0.8,0,0,0.0666666666666667,0.0666666666666667,,0,0,0,1,0,0,,,,,,,,,5732197.1,0,4178,0.8,,
1,M07GTG_1-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
2,M08GTG_2-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
3,M09GTG_3-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
4,M10GTG_4-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
5,D1STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
6,D2STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
7,D3STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
8,D4STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
9,D5STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
10,D6STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
11,DICE1-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
12,DICE2-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
13,DICE3-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
14,DICE4-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
15,DICE5-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
16,DICE6-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
17,V1STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
18,V2STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
19,V3STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
20,V-GTG-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.1333,0.1333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
21,Vasilikos CCCP1,216,,CY,,,COMC,OIL,0.4868,6,,0.027272727,0.027272727,17500,,0,0.272727273,0.4793,0,0,,,,,,,,,,,,,,
22,Vasilikos CCCP2,216,,CY,,,COMC,OIL,0.4868,6,,0.027272727,0.027272727,17500,,0,0.272727273,0.4793,0,0,,,,,,,,,,,,,,
23,DispaSET WindOn_CY,147,,CY,,,WTON,WIN,1,0,0,0.1080864692,0.1080864692,0,,0,0,1,0,0,,,,,,,,,,,,,,
24,DispaSET PHOT_CY,61,,BE,,,PHOT,SUN,1,0,0,0.3047748053,0.3047748053,0,,0,0,1,0,0,,,,,,,,,,,,,,
1,M07GTG_1-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
2,M08GTG_2-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
3,M09GTG_3-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
4,M10GTG_4-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
5,D1STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
6,D2STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
7,D3STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
8,D4STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
9,D5STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
10,D6STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
11,DICE1-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
12,DICE2-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
13,DICE3-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
14,DICE4-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
15,DICE5-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
16,DICE6-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
17,V1STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
18,V2STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
19,V3STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
20,V-GTG-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.1333,0.1333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
21,Vasilikos CCCP1,216,,CY,,,COMC,OIL,0.4868,6,,0.027272727,0.027272727,17500,,0,0.272727273,0.4793,0,0,,,,,,,,,,,,,,
22,Vasilikos CCCP2,216,,CY,,,COMC,OIL,0.4868,6,,0.027272727,0.027272727,17500,,0,0.272727273,0.4793,0,0,Extraction,1,0.18,150,,,,,1500,0.03,,,,
23,DispaSET WindOn_CY,147,,CY,,,WTON,WIN,1,0,0,0.1080864692,0.1080864692,0,,0,0,1,0,0,,,,,,,,,,,,,,
24,DispaSET PHOT_CY,61,,CY,,,PHOT,SUN,1,0,0,0.3047748053,0.3047748053,0,,0,0,1,0,0,,,,,,,,,,,,,,
1,M07GTG_1-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
2,M08GTG_2-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
3,M09GTG_3-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
4,M10GTG_4-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.13333,0.13333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
5,D1STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
6,D2STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
7,D3STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
8,D4STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
9,D5STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
10,D6STG-60MW,60,,CY,,,STUR,OIL,0.316,,,0.025,0.0333,10000,,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,
11,DICE1-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
12,DICE2-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
13,DICE3-17.48MW,17.48,,CY,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200,,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,
14,DICE4-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
15,DICE5-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
16,DICE6-17.07MW,17.07,,CY,,,ICEN,OIL,0.421,,,0.0586,0.0586,600,,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,
17,V1STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
18,V2STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
19,V3STG1-130MW,130,,CY,,,STUR,OIL,0.4012,,,0.0277,0.0277,20000,,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,
20,V-GTG-37.5MW,37.5,,CY,,,GTUR,OIL,0.306,,,0.1333,0.1333,2500,,0,0.106,0.1522,0,0,,,,,,,,,,,,,,
21,Vasilikos CCCP1,216,,CY,,,COMC,OIL,0.4868,6,,0.027272727,0.027272727,17500,,0,0.272727273,0.4793,0,0,p2h,0,0.25,100,,,,,800,0.03,,,,
22,Vasilikos CCCP2,216,,CY,,,COMC,OIL,0.4868,6,,0.027272727,0.027272727,17500,,0,0.272727273,0.4793,0,0,Extraction,1,0.18,,,,,,800,0.03,,,,
23,DispaSET WindOn_CY,147,,CY,,,WTON,WIN,1,0,0,0.108086469,0.108086469,0,,0,0,1,0,0,,,,,,,,,,,,,,
24,DispaSET PHOT_CY,61,,CY,,,PHOT,SUN,1,0,0,0.304774805,0.304774805,0,,0,0,1,0,0,,,,,,,,,,,,,,
CZ_STUR_BIO,CZ_STUR_BIO,175,4,CZ,,,STUR,BIO,0.46,4,6,0.02,0.02,,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,175,,,,,,,,,,
CZ_COMC_GAS,CZ_COMC_GAS,245.9706691,2,CZ,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,
CZ_STUR_HRD,CZ_STUR_HRD,600,2,CZ,,,STUR,HRD,0.46,8,8,0.017777778,0.017777778,,0,0,0.3,0.46,2,0.81,,,,,,,,,,,,,,
CZ_STUR_LIG,CZ_STUR_LIG,757.6363636,11,CZ,,,STUR,LIG,0.393,8,8,0.01520979,0.017482517,,12.56164384,0,0.389,0.4075,5,1.05,,,,,,,,,,,,,,
CZ_STUR_NUC,CZ_STUR_NUC,808,5,CZ,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,
CZ_PHOT_SUN,CZ_PHOT_SUN,2027,1,CZ,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
CZ_HROR_WAT,CZ_HROR_WAT,431,1,CZ,,,HROR,WAT,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
CZ_HPHS_WAT,CZ_HPHS_WAT,1822,1,CZ,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,9110,0,1172,0.8,,
CZ_WTON_WIN,CZ_WTON_WIN,277,1,CZ,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,
,KW Janschwalde,3000,,DE,,,STUR,LIG,0.385,8,6,0.0016666667,0.0016666667,136849.915,,0,0.3,0.385,7,1,,,,,,,,,,,,,,
,KW Boxberg,2484,,DE,,,STUR,LIG,0.385,8,6,0.0020128824,0.0020128824,136849.915,,0,0.3,0.385,7,1,,,,,,,,,,,,,,
,KW Lippendorf,1782,,DE,,,STUR,LIG,0.385,8,6,0.0028058361,0.0028058361,136849.915,,0,0.3,0.385,7,1,,,,,,,,,,,,,,
,KW Moorburg,1600,,DE,,,STUR,HRD,0.395,8,6,0.003125,0.003125,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,KW Schwarze Pumpe,1524,,DE,,,STUR,LIG,0.385,8,6,0.0032808399,0.0032808399,136849.915,,0,0.3,0.385,7,1,,,,,,,,,,,,,,
,PSW Goldisthal,1060,,DE,,,HPHS,WAT,0.86,0,0,0.2830188679,0.2830188679,0,,0,0,0.86,0.3,0,,,,,,,,,6678,0,1060,0.86,,
,Schkopau,900,,DE,,,STUR,LIG,0.385,8,6,0.0055555556,0.0055555556,136849.915,,0,0.3,0.385,7,1,,,,,,,,,,,,,,
,PSW Markersbach,870,,DE,,,HPHS,WAT,0.86,0,0,0.3448275862,0.3448275862,0,,0,0,0.86,0.3,0,,,,,,,,,5481,0,870,0.86,,
,HKW Reuter West,564,,DE,,,STUR,HRD,0.395,8,6,0.0088652482,0.0088652482,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Kraftwerk Rostock,514,,DE,,,STUR,HRD,0.395,8,6,0.0097276265,0.0097276265,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Heizkraftwerk Mitte,444,,DE,,,COMC,GAS,0.525,5,1,0.0251576577,0.0251576577,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Industriekraftwerk PCK,359,,DE,,,STUR,OIL,0.41,8,6,0.0139275766,0.0139275766,35280.965,,0,0.3,0.41,7,0.79,,,,,,,,,,,,,,
,Windpark Baltic 1 and 2,336,,DE,,,WTOF,WIN,1,0,0,0.4166666667,0.4166666667,0,,0,0,1,0,0,,,,,,,,,,,,,,
,PSW Hohenwarte II,320,,DE,,,HPHS,WAT,0.86,0,0,0.9375,0.9375,0,,0,0,0.86,0.3,0,,,,,,,,,2016,0,320,0.86,,
,HKW Tiefstack,314,,DE,,,STUR,HRD,0.395,8,6,0.0159235669,0.0159235669,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Thyrow,300,,DE,,,COMC,GAS,0.525,5,1,0.0372333333,0.0372333333,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,HKW Lichterfelde,288,,DE,,,COMC,GAS,0.525,5,1,0.0387847222,0.0387847222,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Wilmersdorf,276,,DE,,,STUR,OIL,0.41,8,6,0.018115942,0.018115942,35280.965,,0,0.3,0.41,7,0.79,,,,,,,,,,,,,,
,Heizkraftwerk Nossener Bruecke,270,,DE,,,COMC,GAS,0.525,5,1,0.0413703704,0.0413703704,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Brunsb??ttel,256,,DE,,,STUR,OIL,0.41,8,6,0.01953125,0.01953125,35280.965,,0,0.3,0.41,7,0.79,,,,,,,,,,,,,,
,HKW Wedel,250,,DE,,,STUR,HRD,0.395,8,6,0.02,0.02,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Charlottenburg,213,,DE,,,COMC,GAS,0.525,5,1,0.0524413146,0.0524413146,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,HKW Nord 2,167,,DE,,,COMC,GAS,0.525,5,1,0.0668862275,0.0668862275,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,HKW Klingenberg,164,,DE,,,STUR,LIG,0.385,8,6,0.0304878049,0.0304878049,136849.915,,0,0.3,0.385,7,1,,,,,,,,,,,,,,
,HKW Reuter,160,,DE,,,STUR,HRD,0.395,8,6,0.03125,0.03125,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Ahrensfelde,152,,DE,,,COMC,GAS,0.525,5,1,0.0734868421,0.0734868421,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Moabit,140,,DE,,,STUR,HRD,0.395,8,6,0.0357142857,0.0357142857,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,PSW Geesthacht,120,,DE,,,HPHS,WAT,0.86,0,0,2.5,2.5,0,,0,0,0.86,0.3,0,,,,,,,,,756,0,120,0.86,,
