name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source,,,,,,,,,,,,,,,,,,,,,
LANGERBRUGGE STORA ST 1,Electrabel,,,,BE,11,Non-renewable waste,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
LANGERBRUGGE STORA ST 2,Electrabel,,,,BE,44.7,Non-renewable waste,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Lillo Degussa GT1,Electrabel,,,,BE,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Lillo Degussa GT2,Electrabel,,,,BE,32,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Lillo Degussa ST,Electrabel,,,,BE,10,Natural gas,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Noordschote TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Oorderen Bayer,Electrabel,,,,BE,43,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Oud-Lillo Monsanto,Electrabel,,,,BE,43,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
RODENHUIZE 4,Electrabel,,,,BE,268,Biomass and biogas,Steam turbine,,,,51.13421,3.77598,22WRODENH000213L,Renewable energy,Bioenergy,Biomass and biogas,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
SAINT-GHISLAIN STEG,Electrabel,,,,BE,350,Natural gas,Combined cycle,,,,50.47167,3.82521,22WSAINT-000221B,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Schaerbeek Siomab ST1,Electrabel,,,,BE,15,Non-renewable waste,Steam turbine,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Schaerbeek Siomab ST2,Electrabel,,,,BE,15,Non-renewable waste,Steam turbine,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Schaerbeek Siomab ST3,Electrabel,,,,BE,15,Non-renewable waste,Steam turbine,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Scheldelaan Exxonmobil,Electrabel,,,,BE,140,Natural gas,,Yes,,CHP/IPP,,,22WSCHELD0002261,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
TIHANGE 1N,Electrabel,,,,BE,481,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000239G,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
TIHANGE 1S,Electrabel,,,,BE,481,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000240V,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
TIHANGE 2,Electrabel,,,,BE,1008,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000241T,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
TIHANGE 3,Electrabel,,,,BE,1038,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000242R,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Turon TJ,Electrabel,,,,BE,18.6,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
VILVOORDE GT,Electrabel,,,,BE,255,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Wilmarsdonk Total GT1,Electrabel,,,,BE,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Wilmarsdonk Total GT2,Electrabel,,,,BE,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Wilmarsdonk Total GT3,Electrabel,,,,BE,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Wilrijk Isvag,Electrabel,,,,BE,12,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zandvliet Power,Electrabel,,,,BE,386.2,Natural gas,Combined cycle,,,,51.36977,4.26667,22WZANDVL000255D,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zedelgem TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zeebrugge 2 Fluxys,Electrabel,,,,BE,40,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zeebrugge TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zelzate 2 Knippegroen,Electrabel,,,,BE,315,Mixed fossil fuels,Steam turbine,,,,51.15861,3.80746,22WZELZAT0002618,Fossil fuels,Mixed fossil fuels,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zelzate TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,51.15879,3.80815,22WZELZAT0002618,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zwijndrecht Lanxess GT,Electrabel,,,,BE,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Zwijndrecht Lanxess ST,Electrabel,,,,BE,15,Natural gas,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Electrawinds biomassa Oostende,Electrawinds Distributie,,,,BE,18,Non-renewable waste,,Yes,,CHP/IPP,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Greenpower Oostende,Electrawinds Distributie,,,,BE,20,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Eurosilo,Lampiris,,,,BE,12.9,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Incinerateur THUMAIDE (IPALLE),Lampiris,,,,BE,34,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Intradel Herstal,Lampiris,,,,BE,34,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
IVBO,Lampiris,,,,BE,16,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
PLATE-TAILLE T,Lampiris,,,,BE,144,Hydro,,,,,,,22WPLATEX000208N,Renewable energy,Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
ANGLEUR TG 41,Luminus,,,,BE,64,Natural gas,Gas turbine,,,,50.61775,5.58267,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
ANGLEUR TG 42,Luminus,,,,BE,64,Natural gas,Gas turbine,,,,50.61775,5.58267,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
ANGLEUR TG31,Luminus,,,,BE,25,Natural gas,,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
ANGLEUR TG32,Luminus,,,,BE,25,Natural gas,,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Beveren 2 Indaver,Luminus,,,,BE,21,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Beveren 3 Indaver,Luminus,,,,BE,24,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Beveren Sleco,Luminus,,,,BE,41,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
EDF Luminus Izegem WKK,Luminus,,,,BE,20,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
EDF Luminus Seraing GT1,Luminus,,,,BE,150,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
EDF Luminus Seraing GT2,Luminus,,,,BE,150,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HAM31,Luminus,,,,BE,58,Natural gas,Gas turbine,,,,51.05942,3.73646,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HAM32,Luminus,,,,BE,58,Natural gas,Gas turbine,,,,51.05942,3.73646,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU AMPSIN-NEUVILLE,Luminus,,,,BE,9.9,Hydro,,,,,50.53381,5.29636,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU ANDENNE,Luminus,,,,BE,9,Hydro,,,,,50.49179,5.06975,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU FLORIFFOUX,Luminus,,,,BE,0.8,Hydro,,,,,50.44663,4.77389,,Renewable energy,Hydro,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU GRAND-MALADES,Luminus,,,,BE,5,Hydro,,,,,50.46595,4.89928,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU IVOZ-RAMET,Luminus,,,,BE,10,Hydro,,,,,50.59349,5.46137,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU LIXHE,Luminus,,,,BE,20,Hydro,,,,,50.75178,5.6878,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HU MONSIN,Luminus,,,,BE,19.7,Hydro,,,,,50.65317,5.63137,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Jemeppe-sur-Sambre GT1,Luminus,,,,BE,48,Natural gas,Gas turbine,,,,50.44746,4.66339,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Jemeppe-sur-Sambre GT2,Luminus,,,,BE,48,Natural gas,Gas turbine,,,,50.44746,4.66339,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Jemeppe-sur-Sambre ST,Luminus,,,,BE,10,Natural gas,Steam turbine,,,,50.44746,4.66339,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
RINGVAART STEG,Luminus,,,,BE,385,Natural gas,Combined cycle,,,,51.10496,3.72567,22WRINGVA000209C,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
SERAING TV,Luminus,,,,BE,170,Natural gas,,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Biostoom Oostende,RWE Supply & Trading,,,,BE,19.4,Non-renewable waste,Combined cycle,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
INESCO WKK,RWE Supply & Trading,,,,BE,138,Natural gas,Combined cycle,Yes,,CHP/IPP,51.24256,4.32481,22WINESCO000149P,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
T-power Beringen,T-Power,,,,BE,422,Natural gas,Combined cycle,,,,,,22WT-POWE000244W,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
AL-1,NUON,Marketkant 12-10,1341AK,Almere,NL,62,Natural gas,,,,,52.38811,5.2154,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
AL-2,NUON,Markerkant 12-10,1341AK,Almere,NL,55,Natural gas,,,,,52.38811,5.2154,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Amercentrale (A8),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,645,Hard coal,Steam turbine,,,,51.70838,4.84381,49W000000000070Z,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Amercentrale (A9),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,640,Hard coal,Steam turbine,,,,51.70838,4.84381,49W000000000070Z,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Amylum,AMYLUM NEDERLAND B.V.,Lagedijk 5,1541KA,Koog aan de Zaan,NL,7,Natural gas,,,,,52.46552,4.81361,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
BOZ,ESSENT ENERGY TRADING B.V.,Moervaart 1,4622RR,Bergen op Zoom,NL,33,Natural gas,,,,,51.50555,4.33998,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Borssele 30,DELTA ENERGY B.V.,Zeedijk 32,4454PM,Borssele,NL,492,Nuclear,Steam turbine,,,,51.43148,3.71871,49W000000000054X,Nuclear,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
CUIJK,ESSENT ENERGY TRADING B.V.,Lange Ooijen 31,5433NG,Katwijk (NB),NL,25,Hard coal,Steam turbine,,,,51.75381,5.8528,,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Bergum (CB10),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72,Natural gas,,,,,53.20975,6.02959,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Bergum (CB20),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72,Natural gas,,,,,53.20975,6.02959,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Diemen (DM33),NUON,Overdiemerweg 35,1111PP,Diemen,NL,249,Natural gas,,,,,52.33898,5.02134,49W0000000000431,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Diemen (DM34),VATTENFALL ENERGY TRADING,Overdiemerweg 35,1111PP,Diemen,NL,435,Natural gas,,,,,52.33898,5.02134,49W0000000000431,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Galileistraat (FG1),EON BENELUX,Galileistraat 15,3029AL,Rotterdam,NL,0,Natural gas,,,,,51.91025,4.42608,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Gelderland (CG13),ELECTRABEL NEDERLAND NV,Weurtseweg 460,6541BE,Nijmegen,NL,0,Hard coal,Steam turbine,,,,51.85607,5.83043,49W000000000076N,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Harculo (HC60),ELECTRABEL NEDERLAND NV,IJsselcentraleweg 6,8015PA,Zwolle,NL,0,Natural gas,,,,,52.46907,6.10767,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Hemweg (HW-7),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,585,Natural gas,,,,,52.40537,4.84482,49W000000000045Y,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Hemweg (HW-8),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,650,Hard coal,Steam turbine,,,,52.40537,4.84482,49W000000000045Y,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Hemweg (HW-9),NUONENW,Nieuwe Hemweg 25,1041AA,Amsterdam,NL,432,Natural gas,,,,,52.40537,4.84482,49W000000000045Y,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale IJmond,NUON,Hoflaan 1,1951HJ,Velsen,NL,144,Other or unspecified energy sources,,,,,52.47155,4.63473,,Other or unspecified energy sources,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Lage Weide,NUON,Atoomweg 7-9,3542AA,Utrecht,NL,247,Natural gas,,,,,52.10292,5.07137,49W000000000047U,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
Centrale Maasvlakte (MV1),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,0,Hard coal,Steam turbine,,,,51.96262,4.02152,49W000000000101D,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx,,,,,,,,,,,,,,,,,,,,,
